"","n","age","income","yrs_school","gender_f","home_own","risk6"
"51807",66762,55,1034,1.5,0,1,837
"2994",3172,53,0,0,0,0,719
"30013",39300,25,521,1.4,0,0,755
"29797",38526,55,264,1.2,1,0,837
"37644",50924,49,1035,2.7,0,0,771
"2765",2930,62,1807,1.5,1,1,815
"45527",59431,44,1800,1.5,1,0,687
"46561",60567,58,518,1.2,1,1,718
"39054",52426,60,258,0.4,0,0,792
"9663",12903,49,2569,1.5,1,1,821
"52276",67292,46,1291,1.1,0,0,791
"31406",41802,37,772,1.1,0,1,794
"14214",17597,51,0,0,0,1,816
"15215",18642,45,777,2.3,1,1,781
"27248",34640,57,1283,1.7,0,1,788
"24237",31143,55,265,1.6,1,0,750
"9117",12331,61,1041,1.4,0,0,806
"30627",40936,64,0,0,0,0,710
"29067",37301,43,2053,1.9,0,1,798
"8004",11156,44,774,0.7,0,1,798
"13566",16927,47,1539,1.7,0,0,776
"49502",63957,101,2313,1,0,0,686
"24611",31555,50,264,0.6,0,0,733
"6229",7625,44,522,2.1,1,1,629
"18028",22275,45,777,1.1,0,1,637
"29480",37755,50,1542,2,0,1,757
"53390",68565,62,522,1.9,1,0,743
"28911",37136,46,1028,1.9,0,1,807
"41355",54897,61,797,0.5,1,1,706
"41",45,54,2065,0.6,0,0,720
"14458",17847,44,0,0,1,1,816
"40276",53744,45,264,1.6,0,0,777
"7298",10371,44,7,2.6,0,0,717
"43903",57714,32,528,0.7,0,0,777
"51800",66755,56,1034,1.7,1,0,735
"28588",36793,58,2057,2.3,1,0,781
"11498",14793,64,515,0.9,0,1,817
"42923",56576,54,1296,1.4,0,1,797
"43163",56863,59,1297,2.3,1,1,813
"12328",15650,45,1024,0.7,1,0,779
"6147",7322,60,1033,3.3,0,1,784
"33625",44368,49,3848,2.1,1,0,788
"21868",28633,42,10,0.4,0,0,697
"40011",53457,46,1034,1.6,0,0,776
"9661",12901,46,258,0.3,0,1,736
"19794",25884,39,518,0.9,0,0,646
"9347",12577,61,1032,0.8,1,0,778
"26589",33774,46,782,1.1,1,1,833
"21014",27370,38,1037,2.2,0,1,800
"14435",17824,51,260,1.3,0,1,732
"5980",6673,36,1291,2.5,1,0,725
"45344",59235,59,1543,0.8,0,0,730
"48437",62785,52,2,1.6,0,0,711
"43365",57108,45,524,1.4,1,1,754
"51673",66612,58,3339,0.2,0,0,692
"28885",37109,58,521,3.5,0,0,822
"26915",34149,35,2054,3.2,0,0,793
"12075",15389,36,259,0.9,1,0,717
"15185",18612,58,1029,1.5,1,1,776
"5037",5510,42,2316,1.3,1,0,753
"48112",62434,39,1030,2.5,1,0,755
"32705",43301,28,1293,1.7,0,0,739
"16190",19669,32,1550,0.7,0,0,783
"25635",32688,33,517,1.9,1,0,738
"14246",17630,29,519,2.5,1,1,797
"14319",17703,49,2058,1.2,1,0,818
"23251",30096,47,2826,2.6,0,0,593
"24628",31573,43,1030,1.7,0,0,663
"35085",47296,28,520,1.2,1,0,584
